Monthly Report for the month of March 2024,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onMarch,2024","No. of Foliosas on March,2024","FundsMobilizedfor themonth ofMarch 2024(INR incrore)","Repurchase/Redemptionfor themonth ofMarch 2024(INR incrore)","Net AssetsUnderManagement as onMarch, 2024(INR incrore)","Average NetAssets UnderManagement for themonthMarch 2024(INR incrore)","No. ofsegregatedportfolioscreatedas onMarch,2024","NetAssetsUnderManagement insegregatedportfolio as onMarch,2024(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,35,"9,00,146","5,22,110.92","5,29,103.42","61,313.51","1,03,701.33",-,-
ii,Liquid Fund,36,"17,82,854","3,13,033.72","4,71,004.10","3,63,509.69","4,75,830.21",-,-
iii,Ultra Short Duration Fund,24,"6,33,208","18,962.13","28,097.08","83,560.91","90,056.33",-,-
iv,Low Duration Fund,20,"8,77,506","13,081.17","19,238.09","90,211.95","93,360.92",-,-
v,Money Market Fund,23,"4,30,626","44,179.10","52,898.86","1,48,893.11","1,54,270.05",1,-
vi,Short Duration Fund,23,"4,56,155","4,760.66","11,210.70","99,004.18","1,02,189.84",-,-
vii,Medium Duration Fund,15,"2,30,314",170.78,535.23,"25,975.53","26,040.67",3,-
viii,Medium to Long Duration Fund,12,"1,00,915",130.94,240.46,"10,497.49","10,479.98",-,-
ix,Long Duration Fund,9,"64,858",895.81,123.52,"12,768.59","12,380.64",-,-
x,Dynamic Bond Fund,22,"2,20,569",505.06,642.96,"31,617.13","31,604.60",-,-
xi,Corporate Bond Fund,21,"5,60,652","6,312.88","6,604.75","1,47,360.53","1,47,138.19",-,-
xii,Credit Risk Fund,14,"2,08,971",53.88,375.00,"23,141.35","23,212.91",3,-
xiii,Banking and PSU Fund,23,"2,57,714","3,153.68","2,922.00","80,890.54","80,385.67",-,-
xiv,Gilt Fund,21,"1,86,552","1,400.38","1,938.88","27,267.73","27,613.31",-,-
xv,Gilt Fund with 10 year constant duration,5,"38,142",122.30,64.26,"4,742.16","4,699.86",-,-
xvi,Floater Fund,13,"2,15,735","1,094.97","3,267.98","51,469.16","52,581.56",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",316,"71,64,917","9,29,968.38","11,28,267.28","12,62,223.57","14,35,546.05",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,24,"60,71,425","3,334.45","1,507.00","1,24,681.69","1,22,872.06",-,-
ii,Large Cap Fund,31,"1,36,68,455","5,661.97","3,534.19","3,14,154.57","3,10,340.58",-,-
iii,Large & Mid Cap Fund,29,"92,77,595","5,036.98","1,821.40","2,05,736.86","2,02,389.44",-,-
iv,Mid Cap Fund,29,"1,40,15,426","4,943.79","3,926.10","2,96,985.72","2,93,303.11",-,-
v,Small Cap Fund,27,"1,90,28,082","5,721.99","5,816.16","2,43,368.37","2,42,443.53",-,-
vi,Dividend Yield Fund,9,"8,77,410",615.71,293.17,"23,914.56","23,792.16",-,-
vii,Value Fund/Contra Fund,23,"61,78,068","2,988.00","1,279.85","1,49,098.82","1,47,986.61",-,-
viii,Focused Fund,28,"50,83,569","1,724.88","1,661.63","1,29,704.03","1,27,839.45",-,-
ix,Sectoral/Thematic Funds,160,"1,82,48,179","12,395.87","4,478.15","2,97,358.13","2,92,557.52",-,-
x,ELSS,42,"1,61,13,976","3,876.13","2,087.07","2,13,759.85","2,10,525.36",-,-
xi,Flexi Cap Fund,38,"1,42,59,500","6,421.66","3,683.55","3,50,186.42","3,46,366.41",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),440,"12,28,21,685","52,721.41","30,088.26","23,48,949.01","23,20,416.25",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,19,"5,37,555",401.80,398.07,"26,871.13","26,763.63",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"54,16,765","2,622.98","2,087.02","1,97,197.20","1,95,733.06",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,33,"46,15,533","4,751.19","3,018.60","2,48,797.60","2,47,668.36",-,-
iv,Multi Asset Allocation Fund,23,"20,24,071","3,448.33",766.87,"67,280.12","70,854.99",-,-
v,Arbitrage Fund,27,"4,91,203","20,793.70","21,091.38","1,53,008.58","1,78,849.06",-,-
vi,Equity Savings Fund,22,"4,09,279","2,202.60","1,275.06","29,567.46","29,784.23",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),155,"1,34,94,406","34,220.62","28,636.99","7,22,722.09","7,49,653.34",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,27,"28,65,115",275.77,143.41,"25,279.73","25,049.03",-,-
ii,Childrens Fund,11,"29,83,777",140.78,66.04,"18,967.30","18,834.68",-,-
"",Sub Total - IV (i+ii),38,"58,48,892",416.55,209.44,"44,247.03","43,883.71",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,208,"75,76,546","6,413.55","4,591.14","2,13,657.47","2,11,999.72",-,-
ii,GOLD ETF,17,"50,60,791",690.18,316.81,"31,223.69","30,032.27",-,-
iii,Other ETFs,189,"1,37,67,925","20,857.69","10,297.93","6,64,000.09","6,55,207.68",-,-
iv,Fund of funds investing overseas,55,"15,57,288",551.50,514.29,"25,713.37","25,345.06",-,-
"",Sub Total - V (i+ii+iii+iv),469,"2,79,62,550","28,512.92","15,720.17","9,34,594.62","9,22,584.74",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,418","17,72,92,450","10,45,839.87","12,02,922.15","53,12,736.32","54,72,084.09",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,87,"71,976",318.92,"2,438.08","15,970.82","17,050.51",-,-
ii,Capital Protection Oriented Schemes,-,-,-,-,-,-,-,-
iii,Infrastructure Debt Fund,5,41,-,-,"1,632.30","1,626.99",-,-
iv,Other Debt Scheme,1,"2,11,951",27.78,53.26,"5,247.95","5,279.68",-,-
"",Sub Total (i+ii+iii+iv),93,"2,83,968",346.70,"2,491.34","22,851.06","23,957.18",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,18,"2,77,840",-,57.55,"4,088.21","4,085.46",-,-
ii,Other Equity Schemes,-,-,-,-,-,-,-,-
"",Sub Total (i+ii),18,"2,77,840",-,57.55,"4,088.21","4,085.46",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,111,"5,61,808",346.70,"2,548.89","26,939.27","28,042.64",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,502",0.01,102.68,519.05,600.83,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,502",0.01,102.68,519.05,600.83,-,-
"",,,,,,,,,
"",Grand Total,"1,541","17,78,56,760","10,46,186.58","12,05,573.72","53,40,194.64","55,00,727.56",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,"##  80","21,13,656",934.63,845.83,"76,396.58","75,721.45",-,-
Monthly Report for the month of February 2024,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onFebruary 29,2024","No. of Foliosas onFebruary 29,2024","FundsMobilizedfor themonth ofFebruary2024 (INR incrore)","Repurchase/Redemptionfor themonth ofFebruary2024 (INR incrore)","Net AssetsUnderManagement as onFebruary 29,2024 (INR incrore)","Average NetAssets UnderManagement for themonthFebruary2024 (INR incrore)","No. ofsegregatedportfolioscreatedas onFebruary 29,2024","NetAssetsUnderManagement insegregatedportfolio as onFebruary 29,2024(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,35,"8,92,025","4,14,374.56","4,31,750.17","67,724.65","97,290.99",-,-
ii,Liquid Fund,36,"17,78,681","3,72,298.58","2,88,656.25","5,17,403.72","4,97,485.58",-,-
iii,Ultra Short Duration Fund,24,"6,35,543","13,264.22","13,626.69","92,070.55","91,584.04",-,-
iv,Low Duration Fund,20,"8,83,315","8,858.49","12,958.87","95,695.66","96,913.23",-,-
v,Money Market Fund,23,"4,33,052","27,980.55","27,843.82","1,56,455.19","1,53,800.41",1,-
vi,Short Duration Fund,23,"4,57,312","4,126.65","1,781.08","1,04,796.56","1,03,785.80",-,-
vii,Medium Duration Fund,15,"2,31,903",219.60,607.46,"26,157.70","26,238.17",3,-
viii,Medium to Long Duration Fund,12,"1,01,160",142.56,149.16,"10,528.85","10,507.33",-,-
ix,Long Duration Fund,7,"50,699",700.52,69.14,"11,884.63","11,527.99",-,-
x,Dynamic Bond Fund,22,"2,19,929",626.72,495.20,"31,509.04","31,285.47",-,-
xi,Corporate Bond Fund,21,"5,62,839","7,073.30","4,044.44","1,46,747.48","1,44,744.75",-,-
xii,Credit Risk Fund,14,"2,11,281",43.21,409.11,"23,305.35","23,413.89",3,-
xiii,Banking and PSU Fund,23,"2,59,627","1,109.92","1,590.00","80,249.69","80,073.51",-,-
xiv,Gilt Fund,21,"1,82,215","1,597.18","1,057.78","27,579.76","27,198.67",-,-
xv,Gilt Fund with 10 year constant duration,5,"38,317",79.08,36.67,"4,649.45","4,615.53",-,-
xvi,Floater Fund,13,"2,17,967","2,231.15","5,841.62","53,215.88","53,973.81",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",314,"71,55,865","8,54,726.29","7,90,917.47","14,49,974.14","14,54,439.19",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,24,"58,68,656","3,835.64","1,421.60","1,22,258.10","1,21,146.92",-,-
ii,Large Cap Fund,31,"1,34,89,341","5,205.90","4,284.76","3,05,940.65","3,04,329.02",-,-
iii,Large & Mid Cap Fund,29,"91,05,807","5,304.99","2,148.35","2,00,832.69","1,98,380.73",-,-
iv,Mid Cap Fund,29,"1,37,15,842","5,427.82","3,619.64","2,95,682.94","2,94,490.53",-,-
v,Small Cap Fund,27,"1,86,64,893","6,897.37","3,974.91","2,49,070.99","2,49,079.06",-,-
vi,Dividend Yield Fund,9,"8,55,919",568.65,474.64,"23,618.09","23,529.74",-,-
vii,Value Fund/Contra Fund,23,"60,07,105","3,175.52","1,308.37","1,47,098.26","1,45,849.92",-,-
viii,Focused Fund,28,"50,75,441","1,806.06","2,338.94","1,26,471.02","1,26,411.07",-,-
ix,Sectoral/Thematic Funds,155,"1,74,30,950","17,655.98","6,393.26","2,87,899.15","2,79,271.88",-,-
x,ELSS,42,"1,58,60,893","2,469.26","2,130.14","2,09,354.38","2,08,094.43",-,-
xi,Flexi Cap Fund,38,"1,40,02,857","6,575.47","3,962.25","3,44,169.76","3,41,202.16",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),435,"12,00,77,704","58,922.66","32,056.88","23,12,396.02","22,91,785.45",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,19,"5,35,328",406.57,512.59,"26,701.84","26,684.80",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"53,85,542","2,639.37","2,610.03","1,93,738.88","1,93,518.33",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,32,"45,64,056","4,835.73","3,548.90","2,45,822.02","2,44,820.67",-,-
iv,Multi Asset Allocation Fund,21,"19,30,545","4,888.13",844.93,"64,695.33","65,769.32",-,-
v,Arbitrage Fund,27,"4,82,770","22,964.53","11,456.37","1,50,768.50","1,73,873.51",-,-
vi,Equity Savings Fund,22,"4,01,223","2,378.88","1,035.30","28,650.57","28,606.81",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),152,"1,32,99,464","38,113.20","20,008.12","7,10,377.14","7,33,273.43",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,27,"28,57,232",278.57,162.17,"24,924.14","24,779.81",-,-
ii,Childrens Fund,11,"29,76,977",139.68,72.95,"18,851.75","18,797.86",-,-
"",Sub Total - IV (i+ii),38,"58,34,209",418.25,235.13,"43,775.88","43,577.67",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,203,"72,14,044","5,669.50","3,133.12","2,09,786.56","2,07,616.60",-,-
ii,GOLD ETF,17,"50,23,955","1,031.13",33.91,"28,529.88","27,924.61",-,-
iii,Other ETFs,186,"1,34,64,269","17,059.73","10,598.06","6,44,835.26","6,39,443.97",-,-
iv,Fund of funds investing overseas,54,"15,51,981",365.05,604.22,"24,932.31","24,686.67",-,-
"",Sub Total - V (i+ii+iii+iv),460,"2,72,54,249","24,125.41","14,369.31","9,08,084.01","8,99,671.86",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,399","17,36,21,491","9,76,305.81","8,57,586.91","54,24,607.19","54,22,747.59",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,93,"77,445",250.75,421.84,"17,981.02","17,955.97",-,-
ii,Capital Protection Oriented Schemes,-,-,-,-,-,-,-,-
iii,Infrastructure Debt Fund,5,41,-,-,"1,621.37","1,616.54",-,-
iv,Other Debt Scheme,1,"2,13,585",23.99,61.73,"5,290.76","5,308.67",-,-
"",Sub Total (i+ii+iii+iv),99,"2,91,071",274.74,483.57,"24,893.15","24,881.18",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,80,367",-,26.16,"4,092.27","4,105.14",-,-
ii,Other Equity Schemes,-,-,-,136.56,-,98.05,-,-
"",Sub Total (i+ii),19,"2,80,367",-,162.72,"4,092.27","4,203.19",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,118,"5,71,438",274.74,646.29,"28,985.41","29,084.38",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,606",89.57,86.13,621.53,655.04,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,606",89.57,86.13,621.53,655.04,-,-
"",,,,,,,,,
"",Grand Total,"1,529","17,41,95,535","9,76,670.13","8,58,319.33","54,54,214.13","54,52,487.01",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,79,"20,71,878",762.94,868.33,"74,667.38","74,446.96",-,-
Monthly Report for the month of January 2024,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onJanuary31, 2024","No. of Foliosas onJanuary 31,2024","FundsMobilizedfor themonth ofJanuary 2024(INR incrore)","Repurchase/Redemptionfor themonth ofJanuary 2024(INR incrore)","Net AssetsUnderManagement as onJanuary 31,2024 (INR incrore)","Average NetAssets UnderManagement for themonthJanuary 2024(INR incrore)","No. ofsegregatedportfolioscreatedas onJanuary31, 2024","NetAssetsUnderManagement insegregatedportfolio as onJanuary31, 2024(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,35,"8,60,396","4,57,249.09","4,48,254.02","84,592.68","1,00,876.38",-,-
ii,Liquid Fund,36,"17,84,696","3,77,822.11","3,28,354.43","4,30,866.24","4,72,113.95",-,-
iii,Ultra Short Duration Fund,24,"6,39,365","15,495.50","12,558.96","91,879.38","92,334.73",-,-
iv,Low Duration Fund,20,"8,92,255","11,427.57","9,311.47","99,202.02","99,856.86",-,-
v,Money Market Fund,23,"4,38,028","35,758.65","25,107.60","1,55,308.64","1,50,976.65",1,-
vi,Short Duration Fund,23,"4,61,888","1,786.85","2,009.37","1,01,737.91","1,01,395.79",-,-
vii,Medium Duration Fund,15,"2,35,134",396.13,606.92,"26,343.53","26,295.23",3,-
viii,Medium to Long Duration Fund,12,"1,01,729",92.28,72.96,"10,434.47","10,382.66",-,-
ix,Long Duration Fund,7,"48,073",639.82,57.38,"11,057.13","10,599.74",-,-
x,Dynamic Bond Fund,22,"2,20,330",485.21,547.94,"31,052.56","30,994.99",-,-
xi,Corporate Bond Fund,21,"5,69,907","3,419.29","2,118.24","1,42,618.95","1,42,363.10",-,-
xii,Credit Risk Fund,14,"2,14,675",59.52,362.20,"23,499.82","23,567.57",3,-
xiii,Banking and PSU Fund,23,"2,62,869",735.01,"1,236.02","80,146.18","80,089.74",-,-
xiv,Gilt Fund,21,"1,79,926",805.35,392.44,"26,740.63","26,425.79",-,-
xv,Gilt Fund with 10 year constant duration,5,"38,720",99.44,33.94,"4,559.28","4,517.44",-,-
xvi,Floater Fund,13,"2,20,693","3,015.02","1,793.97","56,465.01","56,613.25",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",314,"71,68,684","9,09,286.84","8,32,817.88","13,76,504.44","14,29,403.89",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,24,"56,27,683","4,318.33","1,279.67","1,18,110.56","1,14,237.05",-,-
ii,Large Cap Fund,30,"1,33,46,810","4,984.55","3,697.49","2,99,733.71","2,97,349.89",-,-
iii,Large & Mid Cap Fund,27,"88,80,611","4,626.41","2,296.31","1,94,015.39","1,90,526.43",-,-
iv,Mid Cap Fund,29,"1,33,16,071","5,648.42","3,587.25","2,90,293.81","2,85,308.52",-,-
v,Small Cap Fund,27,"1,78,96,929","7,033.71","3,776.73","2,47,603.34","2,39,940.99",-,-
vi,Dividend Yield Fund,9,"8,36,896",616.31,234.66,"22,948.85","22,312.23",-,-
vii,Value Fund/Contra Fund,23,"58,24,994","3,103.18","1,261.02","1,42,075.88","1,38,340.30",-,-
viii,Focused Fund,28,"50,93,488","2,076.98","2,278.81","1,25,636.59","1,24,799.87",-,-
ix,Sectoral/Thematic Funds,150,"1,61,37,536","9,380.48","4,575.80","2,71,142.04","2,64,039.76",-,-
x,ELSS,42,"1,57,28,518","2,635.87","2,102.99","2,04,369.62","2,01,884.31",-,-
xi,Flexi Cap Fund,38,"1,37,76,248","6,406.47","3,959.44","3,34,406.47","3,30,432.00",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),427,"11,64,65,784","50,830.72","29,050.16","22,50,336.25","22,09,171.35",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,19,"5,34,546",502.73,455.32,"26,546.82","26,317.66",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"53,65,185","2,943.69","2,495.74","1,91,437.57","1,89,778.46",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,31,"45,15,525","4,953.36","3,613.48","2,41,083.61","2,37,368.54",-,-
iv,Multi Asset Allocation Fund,19,"18,22,102","7,771.25",691.73,"60,324.84","57,732.91",-,-
v,Arbitrage Fund,27,"4,78,260","22,866.86","12,258.47","1,44,093.03","1,62,169.00",-,-
vi,Equity Savings Fund,22,"3,95,788","2,179.57","1,065.71","27,082.86","26,935.69",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),149,"1,31,11,406","41,217.45","20,580.46","6,90,568.74","7,00,302.26",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,27,"28,48,950",332.82,174.69,"24,489.41","24,229.99",-,-
ii,Childrens Fund,11,"29,70,835",160.54,70.92,"18,736.88","18,487.74",-,-
"",Sub Total - IV (i+ii),38,"58,19,785",493.36,245.61,"43,226.29","42,717.73",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,197,"67,02,645","5,994.90","3,006.92","2,04,524.55","2,01,318.71",-,-
ii,GOLD ETF,16,"49,72,469",734.06,76.60,"27,778.08","30,445.04",-,-
iii,Other ETFs,183,"1,31,80,494","17,230.43","16,659.24","6,27,244.59","6,22,214.94",-,-
iv,Fund of funds investing overseas,54,"15,56,656",384.92,618.71,"24,044.11","23,787.60",-,-
"",Sub Total - V (i+ii+iii+iv),450,"2,64,12,264","24,344.32","20,361.47","8,83,591.32","8,77,766.30",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,378","16,89,77,923","10,26,172.70","9,03,055.58","52,44,227.04","52,59,361.53",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,93,"79,517",383.94,325.25,"18,032.82","17,920.81",-,-
ii,Capital Protection Oriented Schemes,-,-,-,-,-,-,-,-
iii,Infrastructure Debt Fund,5,41,-,-,"1,611.38","1,606.21",-,-
iv,Other Debt Scheme,1,"2,15,586",23.11,67.31,"5,289.44","5,324.85",-,-
"",Sub Total (i+ii+iii+iv),99,"2,95,144",407.05,392.56,"24,933.65","24,851.88",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,81,749",-,31.99,"4,082.74","4,070.07",-,-
ii,Other Equity Schemes,1,"1,738",-,-,132.94,131.32,-,-
"",Sub Total (i+ii),20,"2,83,487",-,31.99,"4,215.68","4,201.39",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,119,"5,78,631",407.05,424.55,"29,149.33","29,053.27",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,628",105.95,0.42,624.33,592.92,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,628",105.95,0.42,624.33,592.92,-,-
"",,,,,,,,,
"",Grand Total,"1,509","16,95,59,182","10,26,685.71","9,03,480.55","52,74,000.70","52,89,007.72",12,35.14
"",,,,,,,,,
